Timestep,Probs
1,"[0.20434782608695662, 0.22608695652173924, 0.20434782608695662, 0.16086956521739137, 0.20434782608695662]"
2,"[0.24534162413214197, 0.2864907247953789, 0.0551243627531733, 0.1886644756725331, 0.2243788126467729]"
3,"[0.06638795527223751, 0.10024329305992424, 0.037607099555335796, 0.050678778629936916, 0.745082873482565]"
4,"[0.033199439300378615, 0.021726439060550773, 0.04646883839197002, 0.012681641281810603, 0.8859236419652905]"
5,"[0.012304801189004292, 0.001842069733286022, 0.04276113636441947, 0.015794101237975262, 0.9272978914753155]"
6,"[0.011878156625103945, 0.0012711307390120474, 0.002967308524754585, 0.011455866939341742, 0.9724275371717895]"
7,"[0.014718694811250264, 0.00018143506303277396, 0.00038330611376538815, 0.01469624321573869, 0.9700203207962147]"
8,"[0.02358473340966284, 1.7754228745475908e-8, 1.6783785134286693e-13, 0.00944036860491122, 0.9669748802310326]"
9,"[0.003085881397410114, 3.025722416473888e-15, 6.326155607092156e-23, 0.013843738863211464, 0.9830703797393798]"
10,"[0.002746888937780616, 9.297842719861277e-24, 3.2971676295141324e-36, 0.14833116530480814, 0.848921945757411]"
11,"[3.521056214435353e-8, 4.889438056867498e-11, 1.3968644778017313e-13, 0.6540360212235284, 0.34596394351687537]"
