Timestep,Probs
1,"[0.19148936170212782, 0.17021276595744694, 0.2510638297872343, 0.19148936170212782, 0.195744680851064]"
2,"[0.3013357314881036, 0.26961609210049203, 0.3964938639714565, 0.015859820891207126, 0.016694491548741676]"
3,"[0.3145938079094705, 0.2712169891179247, 0.41225980188943084, 0.0009636080255265257, 0.0009657930576479233]"
4,"[0.37250606685438775, 0.017823626251736453, 0.6095468493884361, 5.926034198932292e-5, 6.41971634524652e-5]"
5,"[0.3649843829598461, 5.689677459027635e-6, 0.63457338515062, 0.00021827153956913023, 0.00021827067250622975]"
6,"[0.029922046214284282, 2.985520084278349e-15, 0.970035968212984, 2.09927863635657e-5, 2.0992786363565692e-5]"
7,"[0.0018275894571594198, 9.13382122484928e-23, 0.9981695003681061, 1.4550873680740618e-6, 1.4550873680740618e-6]"
