Timestep,Probs
1,"[0.33333333333333315, 0.33333333333333315, 0.33333333333333315]"
2,"[0.3352594430991854, 0.3352594430991853, 0.3294811138016283]"
3,"[0.3413173647610371, 0.34730538799488336, 0.3113772472440792]"
4,"[0.5113636000479181, 7.417176110208489e-8, 0.4886363257803211]"
5,"[0.5113636363636356, 2.6746210777391997e-22, 0.4886363636363643]"
6,"[0.3548389161256978, 1.3317448809207052e-38, 0.6451610838743025]"
7,"[0.9999999999997421, 2.4137985716316962e-54, 2.580946253005754e-13]"
8,"[1.0000000000000004, 1.6811842429678343e-21, 7.256467475328809e-36]"
9,"[0.9999999880864142, 1.2257690089597032e-63, 1.1913581199851166e-8]"
10,"[0.9999999999999879, 5.406220288666563e-159, 1.3706640206474058e-14]"
11,"[1.0, 2.448692514403273e-292, 4.289855629230201e-48]"
12,"[1.000000000000003, 2.171301421710852e-146, 2.9807125355564548e-36]"
13,"[0.9999999999999981, 2.0399491939981092e-290, 6.207395100925585e-71]"
14,"[1.0000000000000049, 0.0, 2.3741400491546986e-89]"
15,"[0.9999999999976404, 1.2528734129381739e-188, 2.361604438827208e-12]"
16,"[0.9999999999999993, 0.0, 2.1945430224850364e-18]"
17,"[1.0000000000000018, 0.0, 7.790622775087656e-21]"
18,"[1.0000000000000018, 0.0, 1.015706862526016e-20]"
