Timestep,Probs
1,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
3,"[0.3333332503044767, 0.3333335001289575, 0.33333324956656574]"
4,"[0.3333338880781771, 0.3333322243858292, 0.3333338875359938]"
5,"[0.33333317960088293, 0.3333336440550833, 0.33333317634403387]"
6,"[0.333333302586858, 0.333333397874359, 0.33333329953878305]"
7,"[0.3333333934170382, 0.33333321774761243, 0.33333338883534935]"
8,"[0.3333334866376587, 0.33333303100851036, 0.333333482353831]"
9,"[0.3333331968637572, 0.3333339288671148, 0.3333328742691279]"
10,"[0.3333332982076288, 0.33333369116962147, 0.3333330106227498]"
11,"[0.3333333287233982, 0.333333626969532, 0.3333330443070698]"
12,"[0.33333336930202767, 0.3333335391478194, 0.3333330915501529]"
13,"[0.3333333358643107, 0.3333335136391328, 0.3333331504965565]"
14,"[0.33333330902996006, 0.33333348270080904, 0.333333208269231]"
15,"[0.3333333254303798, 0.33333346800075836, 0.33333320656886184]"
16,"[0.3231992902609868, 0.11976029330378296, 0.5570404164352303]"
17,"[0.36298546147524424, 0.009980207254274504, 0.6270343312704811]"
18,"[0.36544776897953063, 0.003381423872421463, 0.631170807148048]"
19,"[0.11506073487844384, 0.0009727950844382089, 0.883966470037118]"
20,"[0.010100488372898455, 0.000167646683551844, 0.9897318649435497]"
21,"[0.0009158261283111146, 0.00012738580473133527, 0.9989567880669575]"
22,"[8.328858743175158e-5, 0.00012812212957019273, 0.9997885892829981]"
23,"[7.560452380050482e-6, 0.00012807347322781946, 0.9998643660743922]"
24,"[6.863802639856803e-7, 0.00012807964153893828, 0.999871233978197]"
25,"[6.22469167736669e-8, 0.00012807924137981925, 0.9998718585117033]"
26,"[5.710926164462119e-9, 0.00012807929220175145, 0.9998719149968721]"
27,"[4.606992945610115e-10, 0.00012807928891808435, 0.9998719202503826]"
28,"[5.892998520499269e-9, 0.00012469590497336689, 0.9998752982020281]"
29,"[6.557391560808144e-8, 0.00012469593996120213, 0.9998752384861231]"
30,"[7.216666668392839e-7, 0.00012469539073947677, 0.9998745829425938]"
31,"[7.950652315642083e-6, 0.00012469963839894377, 0.9998673497092855]"
32,"[8.756948827713722e-5, 0.00012463300255931132, 0.9997877975091636]"
33,"[0.0009647953569126712, 0.00012514913883732992, 0.9989100555042499]"
34,"[0.010412138133508872, 0.00011729647615446805, 0.9894705653903366]"
35,"[0.11582621913513517, 0.0004306586603391175, 0.8837431222045258]"
36,"[0.11582747114659077, 0.00035314594657330023, 0.8838193829068359]"
37,"[0.11575985684472831, 0.0009646346836368462, 0.8832755084716348]"
38,"[0.11489124383486057, 0.007982053639012525, 0.8771267025261269]"
39,"[0.10621673020431457, 0.08746918556327703, 0.8063140842324085]"
40,"[0.09418773702763505, 0.2685337761071406, 0.6372784868652243]"
41,"[0.09418773702763507, 0.26853377610714063, 0.6372784868652244]"
42,"[0.09418800425099702, 0.26853453742415223, 0.6372774583248507]"
43,"[0.09412109629502677, 0.26925523278482144, 0.6366236709201518]"
44,"[0.0941266156672254, 0.2691956896499356, 0.636677694682839]"
45,"[0.008077807879444338, 0.29497672948270964, 0.696945462637846]"
46,"[0.000731060594231739, 0.297144117916283, 0.7021248214894852]"
47,"[6.647387722595462e-5, 0.2973435357098507, 0.7025899904129234]"
48,"[6.034129727254616e-6, 0.2973613473443414, 0.7026326185259314]"
49,"[5.477018832729479e-7, 0.29736299342798184, 0.7026364588701348]"
50,"[4.977977850097495e-8, 0.29736313883776266, 0.7026368113824588]"
51,"[4.457706326888483e-9, 0.29736315248970663, 0.702636843052587]"
52,"[4.699153625107536e-10, 0.2973631536386227, 0.7026368458914619]"
53,"[6.823889373322722e-10, 0.6745596205489377, 0.3254403787686735]"
54,"[6.871917893252876e-11, 0.9673001447081271, 0.03269985522315382]"
55,"[6.215613461017117e-12, 0.9971662547083914, 0.0028337452853930624]"
56,"[2.3820754550974045e-12, 0.9991803397180292, 0.0008196602795887414]"
