Timestep,Probs
1,"[0.2012987012987013, 0.15584415584415584, 0.2077922077922078, 0.2207792207792208, 0.2142857142857143]"
2,"[0.2460741602567941, 0.17277447349045152, 0.13088995275832876, 0.18848229075775713, 0.2617791227366686]"
3,"[0.3554532679240716, 0.18862897480530358, 0.08190470791724434, 0.13183744054195015, 0.24217560881143105]"
4,"[0.40299010826448883, 0.14925241397413208, 0.11940542224393816, 0.08209498234981914, 0.24625707316762097]"
5,"[0.4361651475888535, 0.18166718878573074, 0.08523173357088575, 0.10301894524061946, 0.193916984813911]"
6,"[0.3781034630429199, 0.15425300489820662, 0.17412205089928104, 0.07462419604339268, 0.21889728511619994]"
7,"[0.3253731505034308, 0.10883671303064556, 0.21655476662956938, 0.10821889965554825, 0.2410164701808059]"
8,"[0.1762312034040697, 0.045090202494339135, 0.13117528354804206, 0.19671397759462325, 0.45078933295892637]"
9,"[0.06797792952811411, 0.013535165384909821, 0.12451579269122663, 0.16149155056513106, 0.6324795618306185]"
10,"[0.04077678699948844, 0.007766959396599584, 0.168931425786706, 0.0834955970343075, 0.6990292307828971]"
11,"[0.007041263804157927, 3.427414484105336e-6, 0.05357642134242745, 0.08436492331681462, 0.8550139641221164]"
12,"[4.703459297271094e-8, 0.0, 0.02500342226645823, 0.27496795660069073, 0.7000285740982598]"
13,"[1.8835396557733746e-10, 0.0, 0.027464668963192607, 0.6568608909746101, 0.3156744398738428]"
