Timestep,Probs
1,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[0.2653025070086879, 0.2649795944707773, 0.003522952368288571, 0.26534602231512106, 0.20084892383712527]"
3,"[0.0165887843418867, 0.01603608986142237, 0.00014765687834957474, 0.5414544124114741, 0.4257730565068675]"
4,"[0.009804819889269003, 0.0092853979792728, 1.6164475838990985e-5, 0.5485981664965355, 0.43229545115908374]"
5,"[0.00013811273877782087, 0.00023061055787664702, 7.797677440024302e-6, 0.5590030447703135, 0.44062043425559205]"
6,"[9.983697924447062e-7, 1.1267216224204246e-6, 1.0757489243110745e-6, 0.5585414435286769, 0.44145535563098404]"
7,"[1.3333959632573536e-8, 1.1668358622923553e-8, 4.365696102420117e-8, 0.5586939429562369, 0.44130598838448387]"
8,"[6.399756058323273e-9, 2.5583512718467238e-9, 2.8637448584776205e-8, 0.5587171641100753, 0.44128279829436884]"
9,"[4.998902227938506e-11, 1.9923382068045788e-11, 1.1385666040252956e-8, 0.5587633518642212, 0.4412366366802002]"
10,"[1.1945720814232243e-12, 4.5278411891633774e-13, 2.8836758578772694e-10, 0.9887752146863152, 0.011224785023669833]"
11,"[1.6998744962726703e-14, 1.8353353685930174e-14, 5.242881374774771e-12, 0.9998191781179523, 0.0001808218767694779]"
