Timestep,Probs
1,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[0.22251730097574446, 0.22251732591449228, 0.10991522789929803, 0.22252742490754288, 0.22252272030292242]"
3,"[0.4997941677340929, 0.4997940906325836, 8.246910459083851e-5, 0.00016465806234214656, 0.00016461446639051404]"
4,"[0.4441099894310753, 0.4440346520572718, 0.1115792256037369, 0.00013797693127805708, 0.00013815597663787874]"
5,"[0.3498099692145324, 0.3719828809482772, 0.2780585508846238, 7.22642935162913e-5, 7.633465905024032e-5]"
6,"[0.3348952108826011, 0.37842700619136554, 0.28261908333950253, 0.003977924609801291, 8.077497672950568e-5]"
7,"[0.2069130205788885, 0.23284642996848265, 0.5534716036194727, 0.006719073295351398, 4.987253780486367e-5]"
8,"[0.01567632644401152, 0.9473128579444915, 0.03651179008332306, 0.00049565190983589, 3.3736183380168064e-6]"
9,"[0.008719809672167227, 0.9713543258878021, 0.019418545882091923, 0.0005038920353481345, 3.4265225908228494e-6]"
10,"[0.008719800167383555, 0.9713532249654944, 0.019419656843227946, 0.0005038915051827096, 3.4265187114199326e-6]"
11,"[0.12904988694701083, 0.4888326294938884, 0.36687805847397464, 0.01513661348120521, 0.0001028116039210783]"
12,"[0.12836871156352644, 0.48558476135812306, 0.37065176785559845, 0.015292714508891457, 0.00010204471386055728]"
13,"[0.07504568798457166, 0.28860921169508147, 0.635928036900772, 0.0003673093975249046, 4.9754022049940505e-5]"
14,"[0.07398484163333473, 0.2889240900538191, 0.6366926162594885, 0.000350287730154258, 4.8164323203509015e-5]"
15,"[0.20341326472507198, 0.7942692787149404, 0.0015493995259231845, 0.0006747328864675184, 9.332414759707607e-5]"
16,"[0.20389173727798646, 0.7961077851221962, 2.4599207813032064e-7, 2.0694082746175925e-7, 2.466691179931731e-8]"
17,"[0.2038917608681341, 0.7961082390212709, 7.51305848731385e-11, 2.91791741403795e-11, 6.285246983833208e-12]"
18,"[0.20389175313435762, 0.7961082468656043, 2.5617305142446947e-14, 1.0253826442107599e-14, 2.2634973939585043e-15]"
19,"[0.2038917531255349, 0.7961082468744651, 2.6774185339311812e-18, 1.1460005896118178e-18, 2.5522456855128637e-19]"
20,"[8.499947645555549e-5, 0.9999150005235444, 5.672019224123882e-20, 4.667659071485664e-22, 9.906849279576298e-23]"
21,"[2.8289416304344423e-8, 0.9999999717105837, 1.7397181191812513e-23, 7.805443138786629e-26, 3.0134718457005654e-26]"
