Timestep,Probs
1,"[0.37500000000000006, 0.32812500000000006, 0.29687500000000006]"
2,"[0.29936313616363136, 0.36943789361479545, 0.3311989702215727]"
3,"[0.09199269144443828, 0.46662354629149233, 0.4413837622640696]"
4,"[0.20876058575296433, 0.4520884359809828, 0.33915097826605367]"
5,"[0.20877205969397022, 0.3516798072352742, 0.43954813307075585]"
6,"[0.11416962628777201, 0.14130981640820986, 0.7445205573040174]"
7,"[0.2655441139483973, 0.282121104452056, 0.4523347815995468]"
8,"[0.43694703107363914, 0.4033608629919861, 0.1596921059343746]"
9,"[0.23748916005561835, 0.6166957514837349, 0.14581508846064678]"
10,"[0.08648661019283732, 0.7095449624523874, 0.20396842735477536]"
11,"[0.008410513070185886, 0.8354679466076147, 0.15612154032220046]"
12,"[0.003592535931764768, 0.8622731763326611, 0.13413428773557337]"
13,"[0.0013002932812463017, 0.8322621666846374, 0.16643754003411618]"
14,"[4.456364803242335e-9, 0.8910774262738504, 0.10892256926978297]"
15,"[2.8540070107672784e-26, 0.9253648330598602, 0.07463516694013919]"
16,"[6.512096530342633e-61, 0.924530687650041, 0.07546931234995871]"
17,"[8.453915797001665e-116, 0.7142995238542693, 0.28570047614573063]"
18,"[1.5808520279118064e-60, 0.3785270377885813, 0.6214729622114181]"
19,"[3.229095673971726e-153, 0.22469853355348493, 0.7753014664465143]"
20,"[1.5386372285717136e-95, 0.04214106679152467, 0.9578589332084748]"
21,"[1.1891238118594234e-198, 0.009528023283612753, 0.9904719767163871]"
22,"[3.67056e-319, 0.00222757610435542, 0.9977724238956439]"
23,"[4.7011328063679144e-192, 2.1796359926898856e-58, 0.9999999999999986]"
24,"[0.0, 1.2640798269841054e-147, 1.0000000000000013]"
25,"[0.0, 7.713729560620998e-237, 1.0000000000000009]"
26,"[0.0, 0.0, 1.0000000000000002]"
27,"[1.730117643217813e-267, 2.2220277595151694e-136, 1.0000000000000022]"
