Timestep,Probs
1,"[0.27333333333333315, 0.16333333333333316, 0.2299999999999997, 0.1933333333333331, 0.13999999999999987]"
2,"[0.5655735778797806, 0.03278698944630871, 0.3606556534512052, 9.939634406673709e-8, 0.040983679826361044]"
3,"[0.584742741545205, 0.016951648299578424, 0.37287942939122254, 1.7855320698350876e-13, 0.025426180763814928]"
4,"[0.6106194682733196, 0.008849557716850974, 0.37168141588187686, 2.2395594455207494e-20, 0.008849558127951894]"
5,"[0.5702479338714951, 0.008264462810027691, 0.3471074380092629, 7.874868105573506e-23, 0.0743801653092112]"
6,"[0.9999998305608826, 1.3666510699934643e-9, 5.7390600244749494e-8, 3.266634183556006e-31, 1.1068186957644238e-7]"
7,"[0.9993225885713475, 0.0, 0.0006774101531576344, 6.708772178974876e-10, 6.046177395866221e-10]"
