Timestep,Probs
1,"[0.3273809523809523, 0.33928571428571414, 0.3333333333333332]"
2,"[0.3271605705209097, 0.3395060961457565, 0.3333333333333331]"
3,"[0.31788241314576, 0.33112510691208513, 0.3509924799421555]"
4,"[0.3211673652543206, 0.33576309927646597, 0.34306953546921365]"
5,"[0.32000010774310317, 0.33600266159067255, 0.34399723066622434]"
6,"[0.3333293038377017, 0.3153146901780772, 0.35135600598422173]"
7,"[0.34999295418877246, 0.3100038232295806, 0.3400032225816474]"
8,"[0.36170440427830114, 0.30850953859003366, 0.32978605713166503]"
9,"[0.3372157438292289, 0.3255763149843604, 0.33720794118641084]"
10,"[0.3536556451454989, 0.31707466568886045, 0.3292696891656405]"
11,"[0.31082048923852634, 0.3378331816502336, 0.3513463291112394]"
12,"[0.29663377211124103, 0.3442854549620276, 0.3590807729267318]"
13,"[0.29062212174875246, 0.3279302514327653, 0.3814476268184829]"
14,"[0.3121511813498569, 0.2924503389285053, 0.3953984797216377]"
15,"[0.33290817547343465, 0.2866014045404526, 0.3804904199861128]"
16,"[0.14158850380336574, 0.30567086157281415, 0.5527406346238192]"
17,"[0.20136774105393174, 0.2101310430378961, 0.5885012159081721]"
18,"[0.2132306987529957, 0.21266543594568305, 0.5741038653013216]"
19,"[0.018187478998561827, 0.1968214852344336, 0.7849910357670047]"
20,"[0.0021149067965872976, 0.21430992680731017, 0.7835751663961024]"
21,"[0.00013188886365162684, 0.2301267475958651, 0.7697413635404835]"
22,"[6.338126997152939e-6, 0.2184604204877481, 0.781533241385256]"
23,"[3.0643257757750437e-7, 0.17266166340061076, 0.8273380301668123]"
24,"[1.7526075682845287e-8, 0.18629754448010827, 0.8137024379938169]"
25,"[1.1017790114965323e-9, 0.1706272807572395, 0.829372718140981]"
26,"[4.849003588219393e-11, 0.14756625134187829, 0.8524337486096312]"
27,"[2.796531604296748e-12, 0.1450781019733378, 0.8549218980238656]"
28,"[3.6820413749695555e-11, 0.48400983380562884, 0.5159901661575519]"
29,"[4.660744356946264e-19, 0.9503598331379186, 0.04964016686208059]"
30,"[2.311979948089976e-49, 0.997245494798448, 0.002754505201552601]"
31,"[5.4845672504959466e-117, 0.9998590156245439, 0.0001409843754552344]"
32,"[1.824629967048968e-182, 0.9999923319028456, 7.668097153199616e-6]"
33,"[1.3098579115837814e-227, 0.9999994595908359, 5.404091633087765e-7]"
34,"[1.085738307694716e-238, 0.9999999787583154, 2.1241683748780293e-8]"
35,"[5.953877970965438e-240, 0.9999999988582852, 1.1417136494337474e-9]"
36,"[3.744910502360779e-241, 0.9999999999396572, 6.034366332263905e-11]"
37,"[5.448158820223063e-244, 0.9989888863426005, 0.001011113657396632]"
38,"[0.0, 0.9999360805769667, 6.391942303135358e-5]"
39,"[0.0, 0.9999749052436713, 2.5094756331376225e-5]"
40,"[0.0, 0.9999985921655894, 1.4078344127076283e-6]"
41,"[0.0, 0.999998450699549, 1.5493004510005294e-6]"
42,"[0.0, 0.9999982767039138, 1.7232960850583843e-6]"
43,"[0.0, 0.9999979835183466, 2.01648165225562e-6]"
44,"[0.0, 0.9999976785180024, 2.3214819992605145e-6]"
45,"[0.0, 0.9999974058249209, 2.5941750800285055e-6]"
46,"[0.0, 0.9999972574029091, 2.742597092124956e-6]"
47,"[0.0, 0.9999969726381353, 3.0273618639267322e-6]"
48,"[0.0, 0.9999964578222751, 3.5421777263067615e-6]"
49,"[2.7598447034658725e-39, 0.9933334617030718, 0.006666538296930469]"
50,"[2.9071060303330468e-58, 0.9999975691586734, 2.430841325552453e-6]"
51,"[1.046247401092523e-80, 0.9999999990997358, 9.002668901280908e-10]"
52,"[8.461269784133348e-124, 0.9999999999996633, 3.370595249095753e-13]"
53,"[3.396448514699283e-159, 1.0000000000000009, 1.3923056416848697e-29]"
54,"[2.4830351948252933e-229, 0.9999999999999999, 5.157032644581722e-39]"
55,"[1.0e-323, 1.0, 2.038289913641415e-55]"
56,"[0.0, 1.0000000000000009, 9.791560587702225e-92]"
