Timestep,Probs
1,"[0.22598870056497186, 0.18079096045197748, 0.19209039548022608, 0.20338983050847467, 0.19774011299435038]"
2,"[0.22727269927859473, 0.1931817704040052, 0.17897729891477598, 0.22727250630746665, 0.17329572509515778]"
3,"[0.31224686435540705, 0.3618963198940369, 0.13212741719021046, 0.12809790113382513, 0.0656314974265216]"
4,"[0.39534793430728077, 0.3178299657527444, 0.1899223915278782, 0.06589157066101074, 0.031008137751086413]"
5,"[0.4811064572123885, 0.40234893789268433, 0.09230784300206565, 0.02022214192435613, 0.004014619968504753]"
6,"[0.5405399933378089, 0.43243162633737775, 0.023165967972215554, 0.00386228140111863, 1.309514785039832e-7]"
7,"[0.33326271189491974, 0.6229458056297891, 0.043735368998188515, 5.611346654341551e-5, 1.0558754598933619e-11]"
8,"[0.26715042103133096, 0.7147985814625384, 0.01805098382686079, 7.495858195880956e-11, 1.3604308763409607e-8]"
9,"[0.32902959908309204, 0.6689085992539875, 0.0020618016629161953, 6.557405987827142e-19, 4.243276858289095e-15]"
10,"[0.33818675987401253, 0.6613435144545681, 0.00046972567142028633, 6.742138383550386e-30, 1.3736634061116172e-22]"
11,"[0.7212423668848709, 0.27875758785545557, 3.4888467601255365e-11, 8.177360358779538e-12, 4.521660793255252e-8]"
12,"[0.927525374845177, 0.07247462515473158, 4.709886876622462e-22, 2.626729623934482e-22, 9.123524804542181e-14]"
13,"[0.9964369837416568, 0.0035630147663903984, 2.270143146478283e-12, 6.19348191493026e-14, 1.489620133463997e-9]"
