Timestep,Probs
1,"[0.18699186991869904, 0.17073170731707304, 0.19105691056910554, 0.20731707317073153, 0.24390243902439002]"
2,"[0.48695157243380705, 0.06672133665461293, 0.37346628593078723, 0.03374614031907507, 0.039114664661717216]"
3,"[0.5222014094742262, 0.05024888697740617, 0.40337712341117093, 0.014211725413173754, 0.009960854724022679]"
4,"[0.6356493042782713, 0.008887287311336168, 0.3447456098902976, 0.004966848643917004, 0.00575094987617858]"
5,"[0.5945057902312039, 0.015689358925706852, 0.3769397439065446, 0.0059618789512477606, 0.0069032279852970875]"
6,"[0.5930440433502954, 0.013551000698772044, 0.372947147634772, 0.009480447755005715, 0.010977360561154514]"
7,"[0.6121898294244327, 0.0017004435526144124, 0.3845340224251442, 0.0007484536613355358, 0.0008272509364725017]"
