Timestep,Probs
1,"[0.3360000000000001, 0.3520000000000001, 0.31200000000000006]"
2,"[0.49230769230768884, 7.013999381036775e-15, 0.5076923076923041]"
3,"[0.5185185185185182, 2.1716590214717437e-70, 0.4814814814814812]"
4,"[0.5000000000000002, 3.2475356801397897e-131, 0.5000000000000002]"
5,"[5.626758419358862e-8, 1.7147669797925632e-188, 0.9999999437324171]"
6,"[0.0, 0.9999999961987314, 3.801270076674447e-9]"
7,"[0.0, 0.9999999999999956, 0.0]"
8,"[0.0, 0.9999999999999876, 0.0]"
9,"[0.0, 0.9999999999999982, 0.0]"
10,"[0.0, 0.9999999999999923, 0.0]"
