Timestep,Probs
1,"[0.3304347826086958, 0.32173913043478275, 0.3478260869565219]"
2,"[0.3120430640853681, 0.4059849640300827, 0.2819719718845493]"
3,"[0.29564379728570467, 0.3478578755151781, 0.35649832719911695]"
4,"[0.18547257239623405, 0.22518179506718103, 0.5893456325365856]"
5,"[0.07615641499430488, 0.10154642378889417, 0.8222971612168015]"
6,"[0.012660915088307951, 0.018993495552225917, 0.9683455893594668]"
7,"[7.727944200091775e-8, 0.006510914693857931, 0.9934890080266986]"
8,"[8.068284637316583e-14, 0.002921097594913914, 0.9970789024050053]"
9,"[2.6802704408561323e-8, 2.997101885376552e-12, 0.9999999731942998]"
10,"[3.564945647820938e-11, 1.5134997560693488e-28, 0.9999999999643482]"
11,"[5.4395821416091805e-17, 7.74709936871487e-38, 1.0000000000000009]"
12,"[1.1279288536205827e-95, 2.4295953202104752e-5, 0.9999757040467956]"
13,"[2.901151811143214e-188, 1.704713914184206e-21, 0.9999999999999994]"
14,"[3.330817496121437e-246, 1.9571850426569062e-79, 0.9999999999999992]"
15,"[1.244370783202168e-60, 2.245904335056719e-95, 1.0]"
16,"[1.561376846839167e-97, 4.3887525185439044e-226, 1.0]"
17,"[4.854899922412061e-33, 1.6059320314852914e-181, 1.0000000000000004]"
18,"[1.9257874079983575e-80, 0.0, 1.000000000000001]"
19,"[3.187149710641919e-110, 0.0, 0.9999999999999997]"
20,"[4.0202882242582713e-19, 2.7010573519219346e-209, 0.9999999999999971]"
21,"[1.0703652777410782e-37, 0.0, 0.9999999999999984]"
22,"[3.238101074593073e-21, 1.0401022361288073e-235, 1.000000000000001]"
23,"[5.481226414815866e-46, 0.0, 1.0000000000000007]"
24,"[7.652105728397797e-28, 1.5325456972371253e-214, 1.0000000000000007]"
25,"[9.592981174847263e-53, 0.0, 1.0000000000000009]"
26,"[1.0571119827067601e-63, 0.0, 1.0000000000000004]"
27,"[1.2563529582096764e-74, 0.0, 0.9999999999999984]"
28,"[8.438600179026342e-28, 2.55440790099826e-103, 1.0]"
29,"[1.1946952446605599e-52, 3.263267434405381e-200, 0.9999999999999988]"
30,"[1.6926919547478728e-77, 1.3995657318475691e-300, 1.0000000000000004]"
31,"[6.656907424326875e-27, 1.712295966966622e-82, 0.9999999999999993]"
32,"[1.6035579377224916e-50, 1.0609557935530544e-161, 0.9999999999999989]"
33,"[9.005178954106653e-48, 1.6253009733115718e-82, 1.0000000000000024]"
34,"[1.9626565369169763e-113, 2.2086789629584795e-120, 0.9999999999999976]"
35,"[3.8673812212356015e-179, 1.1528500940377459e-175, 1.0000000000000004]"
36,"[4.61884407915369e-276, 1.595653891976504e-213, 0.9999999999999998]"
37,"[4.2897267258158083e-138, 2.1750094019741106e-30, 1.000000000000002]"
38,"[2.04729e-318, 2.3026296014939293e-54, 0.9999999999999986]"
39,"[0.0, 7.001622620399945e-81, 0.9999999999999993]"
