Timestep,Probs
1,"[0.22000000000000017, 0.19200000000000014, 0.19600000000000015, 0.16000000000000011, 0.23200000000000018]"
2,"[0.21538467208033582, 0.17142880932033966, 0.18461557605180673, 0.18461496031649077, 0.24395598223102777]"
3,"[0.17776626541706864, 0.1819739552205582, 0.14288986405342752, 0.18862519181725768, 0.30874472349168863]"
4,"[0.17541658169468388, 0.15364950463644841, 0.1485278717305224, 0.14852741669481617, 0.37387862524352905]"
5,"[0.2719626650627401, 0.2039469362409847, 0.2542358755429127, 0.06564582710255312, 0.2042086960508082]"
6,"[0.1777170587991616, 0.4849137704367518, 0.1747119240005489, 0.04819121109282914, 0.11446603567070911]"
7,"[0.0670426305462895, 0.7825686091654204, 0.06721663215046078, 0.025429361629577648, 0.057742766508252746]"
8,"[0.06989284491490814, 0.7240169362674331, 0.08422829656450695, 0.03942583774576052, 0.08243608450738847]"
9,"[0.06193515849184026, 0.7777209067153492, 0.06391112977943159, 0.027597281488860894, 0.06883552352451733]"
10,"[0.04513163960069462, 0.5764044838471046, 0.14930508668765546, 0.031246789974289847, 0.19791199989025685]"
11,"[0.13273224371352452, 0.26275557494157253, 0.23406771617095823, 0.024460539134433492, 0.34598392603951195]"
12,"[0.08003934683563602, 0.14750834408744157, 0.5349410795178021, 0.022498349501506913, 0.21501288005761396]"
13,"[0.037451025801291365, 0.0836227511181255, 0.7753941493244362, 0.010978809219417894, 0.0925532645367285]"
