Timestep,Probs
1,"[0.20606060606060622, 0.284848484848485, 0.18181818181818193, 0.20606060606060622, 0.12121212121212122]"
2,"[0.1495730428128352, 0.3632478213095971, 0.09829133793512597, 0.2820498110572229, 0.10683798688521856]"
3,"[0.16223447178798117, 0.49976569550235106, 0.04305490755282724, 0.23849779185108602, 0.056447133305755355]"
4,"[0.08347566726183586, 0.6200998688096947, 0.013629272931506706, 0.2470176825462368, 0.03577750845072538]"
5,"[0.04636842347835516, 0.4612914158850498, 0.01320299310230795, 0.3998749439794271, 0.07926222355485989]"
6,"[0.016705802923531167, 0.2959503122540062, 0.009545944258707523, 0.6014184984058676, 0.07637944215788818]"
7,"[0.002309619484531951, 0.12713842536236955, 0.002309601918424921, 0.7850927760892995, 0.08314957714537267]"
8,"[7.019709693453062e-8, 0.049741272524243194, 0.001036266131173964, 0.8829010667830421, 0.06632132436444445]"
9,"[2.1022903676398335e-11, 0.010058055169791353, 3.1650936463905904e-14, 0.8853522820905476, 0.10458966271860712]"
10,"[1.2997465117073833e-21, 0.004444282220107415, 4.4022642506663e-27, 0.9671101483799693, 0.028445569399921416]"
11,"[2.2718674513135967e-13, 0.006408512967805795, 3.112573573521768e-16, 0.9871799352578684, 0.00641155177409887]"
