Timestep,Probs
1,"[0.23553719008264426, 0.1859504132231403, 0.20247933884297495, 0.19008264462809896, 0.1859504132231403]"
2,"[0.07865276608925013, 0.29587924869311266, 0.10861483628342684, 0.18726549057959058, 0.3295876583546202]"
3,"[0.02254068696974266, 0.26188739348766765, 0.17486373417942794, 0.21247351421319155, 0.32823467114997046]"
4,"[0.015935043116882493, 0.15538447904847733, 0.051804256774868565, 0.155376401068175, 0.6214998199915969]"
5,"[0.01212033064218072, 0.20233811677054137, 0.040510546031104835, 0.15787633518538854, 0.5871546713707853]"
6,"[0.013155991128485678, 0.15790397809590648, 0.05263611803352303, 0.17764198243220988, 0.5986619303098755]"
7,"[0.011777254539581014, 0.12006798541909469, 0.0670878007723409, 0.3269486733167203, 0.47411828595226385]"
8,"[0.004903791885260274, 0.048403404411269044, 0.06446174003971505, 0.2482890427448719, 0.6339420209188822]"
9,"[1.1788175722853067e-5, 0.03007866834028844, 0.06878656147749874, 0.27094187560469307, 0.6301811064017949]"
10,"[2.4119328800595785e-12, 0.03115247685606068, 0.05607475929468318, 0.20612718598412733, 0.7066455778627158]"
11,"[8.134102243174154e-16, 0.010575684650901241, 0.04657482257935106, 0.10014870244608717, 0.8427007903236594]"
12,"[5.024736656088047e-6, 0.0027472902913125083, 0.04853461318103626, 0.07966986739603552, 0.8690432043949629]"
13,"[2.455030258878054e-12, 0.0010729557347277316, 0.015031781678850805, 0.02412901874583846, 0.9597662438381271]"
14,"[1.144737530988546e-12, 1.1435390553566513e-12, 0.00696487810761606, 0.0059711344995112756, 0.9870639873905821]"
15,"[5.107517499613793e-21, 8.86467557194418e-26, 0.0021571736252703187, 0.0021576994196155063, 0.995685126955114]"
