Timestep,Probs
1,"[0.33333333333333365, 0.34013605442176903, 0.32653061224489827]"
2,"[0.25918005583880166, 0.4205194801534244, 0.3203004640077744]"
3,"[0.2338165044883128, 0.40604556093992455, 0.36013793457176224]"
4,"[0.14679888371599936, 0.24767890482964683, 0.6055222114543535]"
5,"[0.043706686709889475, 0.04637157167895091, 0.9099217416111604]"
6,"[0.006435194519182442, 0.006234113662209052, 0.9873306918186078]"
7,"[0.0005227982525560152, 0.0005531506491799709, 0.9989240510982628]"
8,"[0.000546958000241897, 0.0005092727619581466, 0.9989437692378009]"
9,"[7.513528219842568e-9, 0.016173731046187127, 0.9838262614402865]"
10,"[8.68201229519323e-15, 0.02010835440224485, 0.9798916455977444]"
11,"[3.685513417529032e-17, 0.030814938724854704, 0.9691850612751461]"
12,"[1.3336592485975314e-19, 0.04025458880794093, 0.9597454111920583]"
13,"[5.25874224716964e-22, 0.0031833730491081964, 0.996816626950891]"
14,"[6.9310727979018094e-9, 0.0008284672458070103, 0.9991715258231194]"
15,"[1.699216834192981e-14, 0.00024293489294806894, 0.9997570651070361]"
16,"[3.1578310075226e-20, 4.920665421457787e-10, 0.9999999995079344]"
17,"[7.575193747055745e-9, 1.307404454595241e-30, 0.9999999924248079]"
18,"[3.858143464342302e-25, 2.2337714344533987e-50, 1.0000000000000009]"
19,"[4.645138396759353e-41, 3.405929051931399e-80, 1.000000000000001]"
20,"[6.550043733518326e-61, 4.084049916432326e-33, 1.0000000000000004]"
21,"[1.2160994327491038e-152, 3.733242406612397e-83, 1.0000000000000018]"
22,"[1.3879841414855598e-284, 1.2508161519511194e-132, 1.0000000000000007]"
23,"[8.036830715837343e-100, 6.829223068682432e-80, 0.9999999999999996]"
24,"[1.3237922706476214e-165, 4.569848583661778e-150, 1.0000000000000016]"
25,"[5.290772762755431e-207, 3.992030704776503e-227, 1.0000000000000009]"
26,"[4.903902038043573e-231, 0.0, 1.0000000000000004]"
27,"[2.2014195662809836e-258, 0.0, 0.9999999999999997]"
28,"[1.4988586424208315e-40, 1.9851724817228395e-30, 0.9999999999999983]"
29,"[7.405734505597719e-65, 1.9610561967345182e-54, 1.0000000000000007]"
30,"[2.5051634345975888e-92, 6.633732648040453e-82, 1.0000000000000018]"
31,"[7.453824471151892e-120, 7.4538244708705e-120, 0.9999999999999982]"
32,"[1.430399605716328e-143, 1.8114817408149586e-157, 1.0000000000000002]"
33,"[2.715238032842678e-44, 2.144032326738539e-30, 1.0000000000000022]"
34,"[5.410814114267148e-110, 2.103566751531029e-54, 1.0000000000000004]"
35,"[1.1427719666991957e-175, 2.187376412009375e-78, 0.9999999999999992]"
36,"[3.999050291659152e-276, 7.0047682578924e-106, 0.9999999999999993]"
37,"[0.0, 7.740678950971219e-144, 0.999999999999999]"
38,"[8.878866028431812e-187, 1.1742399154724635e-26, 0.9999999999999996]"
39,"[0.0, 2.932783686280535e-53, 1.0000000000000016]"
