Timestep,Probs
1,"[0.20190023752969133, 0.21377672209026144, 0.19714964370546328, 0.19477434679334926, 0.19239904988123524]"
2,"[0.2088031410422023, 0.2292001517613717, 0.1536949082202098, 0.2191803654190337, 0.18912143355718267]"
3,"[0.035591788743704736, 0.04967279640276173, 0.020941499862466708, 0.49421070266819306, 0.3995832123228756]"
4,"[0.003998530039552878, 0.005090091834885214, 0.009087563843529765, 0.07597425405796744, 0.9058495602240662]"
5,"[0.0007095391304770609, 0.0008178550288467426, 0.0006548681219377708, 0.005159097359981985, 0.992658640358756]"
6,"[0.0006619223081530603, 0.003640540868871176, 0.0006619231114729134, 0.006289659922223761, 0.9887459537892839]"
7,"[0.0002443579619203799, 0.0002332829471040999, 4.442873069647023e-5, 0.0007941457922454289, 0.9986837845680377]"
