Timestep,Probs
1,"[0.21538461538461573, 0.2000000000000003, 0.17307692307692327, 0.2000000000000003, 0.21153846153846187]"
2,"[0.2710805175064611, 0.22565330843058415, 0.01751789162936222, 0.23188854889678415, 0.25385973353680863]"
3,"[0.4871737507616776, 0.458655834095827, 0.0018100938256011482, 0.02384911833207913, 0.028511202984814805]"
4,"[0.46299566748537696, 0.44498392202317544, 0.03787997459262647, 0.02531627362903643, 0.02882416226978291]"
5,"[0.6209611148509889, 0.3514116010318478, 0.021579352281375204, 0.003023965324683586, 0.003023966511101754]"
6,"[0.348882539926901, 0.6238843172647618, 0.021786518575802893, 0.0027233121155342656, 0.002723312116999918]"
7,"[0.04208986664023338, 0.9558888878354853, 0.0012127530920761913, 0.0004042462072920363, 0.00040424622491441156]"
8,"[0.028430878516979157, 0.9714666859840951, 5.125480300826082e-5, 2.5590347959607e-5, 2.5590347959607e-5]"
9,"[0.01819216545422772, 0.9816872813949323, 6.027657697901999e-5, 3.013828692934448e-5, 3.013828692934448e-5]"
10,"[0.013403262391512866, 0.9864604932372064, 6.812218563900397e-5, 3.406109281950162e-5, 3.406109281950162e-5]"
11,"[0.022042927842419884, 0.9777284207537738, 0.00011432570190397777, 5.7162850951988886e-5, 5.7162850951988886e-5]"
12,"[0.02452652643374568, 0.9713857109148496, 0.0040877617967600526, 1.6081706828728024e-15, 8.546478358766021e-10]"
13,"[0.0029283366629071416, 0.9877985972445894, 0.009273066089840581, 9.416470439241383e-24, 2.6594893814419078e-12]"
14,"[0.0027400035762656853, 0.984414006293837, 0.01284599012989791, 3.741168611384815e-33, 7.702734407549532e-19]"
15,"[0.007209906894359467, 0.9904303683652791, 0.0023597247403621545, 3.744807952483029e-42, 3.68777790587085e-21]"
16,"[6.76635273073659e-6, 0.9999932233483749, 1.0299232933961863e-9, 2.153236321898461e-16, 9.26897631958274e-9]"
17,"[1.3065889707768755e-9, 0.9999999986772798, 2.4585730348402855e-15, 8.705084692857194e-27, 1.6130697681528927e-11]"
18,"[2.8927127838603156e-15, 0.9999999999999996, 5.443139202133735e-21, 3.263824368024223e-37, 4.408942753728472e-19]"
19,"[6.502105416936434e-21, 0.9999999999999951, 1.2218098383855597e-26, 1.3785607231945162e-48, 1.3575664870951692e-27]"
20,"[2.4071132212512365e-30, 1.0000000000000027, 4.076467376672204e-36, 7.0102937464004606e-62, 6.213179967493541e-40]"
21,"[3.6769942039257104e-34, 1.0000000000000029, 1.3019155731094319e-45, 2.015011720065632e-70, 2.721982043181858e-52]"
