Timestep,Probs
1,"[0.32142857142857134, 0.3273809523809523, 0.351190476190476]"
2,"[0.322980822914823, 0.32298290650324, 0.3540362705819373]"
3,"[0.3311273277538807, 0.31125773462727385, 0.3576149376188459]"
4,"[0.3259293863959888, 0.3185171557627035, 0.3555534578413067]"
5,"[0.34399538521993667, 0.3359981744883159, 0.32000644029174874]"
6,"[0.34512864366034135, 0.3362880982360343, 0.31858325810362453]"
7,"[0.366329332054133, 0.3168353345296537, 0.3168353334162135]"
8,"[0.36170440297926165, 0.32978605834117786, 0.30850953867956116]"
9,"[0.3734919802731431, 0.31325198903689794, 0.3132560306899594]"
10,"[0.3797452221682228, 0.31645435204386957, 0.30380042578790706]"
11,"[0.3661967172770571, 0.3380233777092248, 0.2957799050137181]"
12,"[0.36363959717799466, 0.333331638517912, 0.3030287643040935]"
13,"[0.3499997216715787, 0.33333333270751914, 0.3166669456209018]"
14,"[0.34545831577762326, 0.3272708421111881, 0.3272708421111884]"
15,"[0.3111246972352732, 0.3555519110467358, 0.33332339171799125]"
16,"[0.030143031668331904, 0.2991803904008796, 0.6706765779307895]"
17,"[0.00762988661803761, 0.25429907759406856, 0.7380710357878923]"
18,"[0.008534398988595059, 0.2660329328663, 0.7254326681451048]"
19,"[0.00986308895281059, 0.22073392549855628, 0.7694029855486342]"
20,"[0.0006152969000106945, 0.2037979260249845, 0.7955867770750049]"
21,"[3.81567050950582e-5, 0.14519962678647683, 0.8547622165084293]"
22,"[2.369001318601183e-6, 0.13791921906082233, 0.862078411937859]"
23,"[1.5197870099625703e-7, 0.1670648678373879, 0.8329349801839108]"
24,"[9.529414145070297e-9, 0.17289813233392254, 0.8271018581366637]"
25,"[5.695645470608065e-33, 0.16666774184658847, 0.8333322581534087]"
26,"[3.340000259003548e-70, 0.17293005491148306, 0.8270699450885157]"
27,"[2.682346969457273e-128, 0.16101521301326754, 0.8389847869867318]"
28,"[2.8362865242282112e-164, 0.16036607852171483, 0.8396339214782855]"
29,"[1.0617553331998303e-193, 0.6693947738746638, 0.33060522612533644]"
30,"[4.293378979762205e-33, 0.9664273224154214, 0.033572677584578346]"
31,"[7.566176069424141e-98, 0.9982643671046676, 0.001735632895333731]"
32,"[8.7964676408904e-190, 0.9999101273678302, 8.987263216904316e-5]"
33,"[6.317e-320, 0.9999955125301786, 4.487469822029616e-6]"
34,"[0.0, 0.9999997576834179, 2.4231658387189777e-7]"
35,"[0.0, 0.9999999865572073, 1.3442790990282133e-8]"
36,"[0.0, 0.9999999994110118, 5.889867887992776e-10]"
37,"[5.488774632942313e-244, 0.9999999999999951, 1.6340469755049473e-15]"
38,"[0.0, 1.0000000000000027, 1.1950934507428525e-30]"
39,"[0.0, 1.0000000000000013, 1.8253903721839842e-44]"
40,"[0.0, 1.0000000000000016, 2.410010061613994e-64]"
41,"[0.0, 1.0000000000000007, 1.1397831710613185e-94]"
42,"[0.0, 0.9999999999999981, 4.973426961093341e-148]"
43,"[0.0, 0.9999999999999996, 3.3667969888723456e-185]"
44,"[0.0, 0.9999999999999989, 2.7517854528315677e-243]"
45,"[0.0, 1.0000000000000002, 2.3918682043582246e-301]"
46,"[0.0, 1.0000000000000002, 0.0]"
47,"[1.8984032171980085e-97, 1.000000000000001, 3.2254850126499755e-40]"
48,"[1.1325861440750428e-160, 1.0000000000000016, 4.143355895617868e-60]"
49,"[1.4832197811478142e-199, 1.0000000000000016, 1.4790807808260516e-69]"
50,"[4.342989244538048e-221, 0.9999999999999989, 1.4950547885663873e-75]"
51,"[4.4266058587625163e-246, 0.9999999999999981, 1.5681118390926254e-81]"
52,"[1.6566621547156643e-281, 1.0000000000000013, 1.5997256959862527e-87]"
53,"[9.0053014e-317, 1.0, 6.566108578668171e-96]"
54,"[0.0, 1.0000000000000013, 8.45803747867362e-115]"
55,"[4.3274218693492405e-80, 0.9999999999999984, 7.740554978627049e-39]"
56,"[9.285823174139455e-160, 0.9999999999999977, 1.554078312839835e-60]"
