Timestep,Probs
1,"[0.19672131147540994, 0.19672131147540994, 0.18442622950819682, 0.1803278688524591, 0.24180327868852475]"
2,"[0.21558462300777734, 0.22597364886839544, 0.07532556991264126, 0.18960984054121127, 0.29350631766997476]"
3,"[0.32512580006800484, 0.2254761248705484, 0.040562538474582695, 0.1676528009817265, 0.24118273560513656]"
4,"[0.39061522070061494, 0.3046827832161588, 0.023434769376979664, 0.12500196635495298, 0.15626526035129332]"
5,"[0.4080233558997157, 0.4538344293245286, 0.010197051454248564, 0.06648052126992128, 0.06146464205158706]"
6,"[0.38934585019924267, 0.4244070014003946, 0.03155170416134381, 0.11235443295575372, 0.04234101128326607]"
7,"[0.3700084042564919, 0.272253627119533, 0.05461370231153193, 0.25118547691241916, 0.051938789400023735]"
8,"[0.27844017961883566, 0.16767228513970855, 0.03592615652766863, 0.40718530892537413, 0.11077606978841364]"
9,"[0.14441458475073707, 0.08844755578779576, 0.011893944927025397, 0.634730860872941, 0.12051305366150047]"
10,"[0.1361358697472884, 0.0310314215757142, 0.004003989725093233, 0.7327322450037748, 0.09609647394813108]"
11,"[0.03967182559239844, 0.004960767258219659, 0.0012384970153276069, 0.9120788472132374, 0.04205006292081366]"
12,"[0.00740299682753674, 0.002691700926747673, 4.1125046143572535e-7, 0.9771194055743825, 0.01278548542087084]"
13,"[1.2680820002958115e-12, 6.063534659634684e-7, 9.241782313757577e-11, 0.9969938516360194, 0.0030055419168258423]"
