Timestep,Probs
1,"[0.3175675675675677, 0.3513513513513514, 0.3310810810810812]"
2,"[0.47941722819955845, 0.06805795898871461, 0.45252481281172735]"
3,"[0.49473698932605337, 0.00702566163966013, 0.4982373490342863]"
4,"[0.4994609212734106, 0.0017289857477142203, 0.4988100929788754]"
5,"[0.16745676275304808, 0.00669584130747487, 0.8258473959394775]"
6,"[0.032465743424700495, 0.0008431338261484268, 0.9666911227491518]"
7,"[1.0063644971708227e-21, 0.0018526257184344767, 0.9981473742815691]"
8,"[4.941779292708402e-56, 0.00034391876620243464, 0.9996560812337958]"
9,"[6.80055890598735e-114, 3.743517064750776e-5, 0.9999625648293521]"
10,"[3.4333271375910135e-95, 0.0014811582403142982, 0.9985188417596841]"
