Timestep,Probs
1,"[0.22400000000000017, 0.16800000000000012, 0.19600000000000015, 0.22000000000000017, 0.19200000000000014]"
2,"[0.3198396386017386, 0.0955928997731246, 0.3639652148544021, 0.10294988385373577, 0.11765236291699913]"
3,"[0.39299710196630827, 0.04056507716573413, 0.4544540993665429, 0.023543121963540477, 0.08844059953787514]"
4,"[0.42370757099676776, 0.015197691971412339, 0.515501180693548, 0.02249272820494313, 0.023100828133329913]"
5,"[0.41663016632847083, 0.015622238541220154, 0.5311261863768661, 0.005218219393758363, 0.03140318935968431]"
6,"[0.38289713711601475, 0.010408433892942225, 0.5935543086630146, 2.5363419115178436e-5, 0.013114756908914872]"
7,"[0.42166550556124655, 0.0014256926373760693, 0.5726784033815363, 8.591240471587169e-7, 0.004229539295795141]"
