Timestep,Probs
1,"[0.13852813852813858, 0.1818181818181818, 0.23809523809523797, 0.20779220779220772, 0.23376623376623365]"
2,"[0.14903857589104966, 0.20432668256534986, 0.07692380792739846, 0.30769167141407733, 0.26201926220212446]"
3,"[0.25517890105648644, 0.3799778345757069, 0.04264839229348339, 0.16008701179000634, 0.16210786028431706]"
4,"[0.2653092708805023, 0.32652815980448785, 0.11224708005286656, 0.1190473799520253, 0.1768681093101172]"
5,"[0.27514580120523785, 0.4026407333445377, 0.11246174883480267, 0.12897278585882527, 0.08077893075659617]"
6,"[0.3417188452958615, 0.35972201097581885, 0.09352617801339008, 0.12590233537786769, 0.07913063033706327]"
7,"[0.25454945876480967, 0.4072845405253179, 0.10752246622080672, 0.12298183760100208, 0.10766169688806242]"
8,"[0.22497613242232142, 0.41359485044637434, 0.1164652587260361, 0.14858426499051136, 0.09637949341475675]"
9,"[0.2246886706180702, 0.45368103319681446, 0.1049290893670103, 0.13947237188618836, 0.0772288349319171]"
10,"[0.26672645724166033, 0.4553497920523394, 0.08892629768039036, 0.09999884336908597, 0.0889986096565236]"
11,"[0.2743840482559254, 0.47580742104179385, 0.04297189795899722, 0.09964383827651646, 0.10719279446676624]"
12,"[0.2709444526882254, 0.47236964879695426, 0.03921577254318198, 0.08912621005781839, 0.12834391591381872]"
13,"[0.12314118455735504, 0.6810405360425951, 0.052484521651273375, 0.04613320124935032, 0.09720055649942544]"
14,"[0.08029826246045343, 0.7323211227592793, 0.051402755343190686, 0.0567440614074278, 0.07923379802964745]"
15,"[0.14087565244884737, 0.6301356681701946, 0.053316472698489645, 0.1327243975188521, 0.04294780916361563]"
16,"[0.1140340731065393, 0.7572820365341574, 0.026329856560726027, 0.07894667048963465, 0.023407363308943184]"
17,"[0.04463199450895778, 0.8857050246713221, 0.013914242217889707, 0.0418209202190499, 0.01392781838277888]"
18,"[0.03464141067881555, 0.950345458515919, 0.0011561082553930078, 0.008083575777316502, 0.005773446772552569]"
19,"[0.054484155005912936, 0.9408340454703925, 4.048992437535959e-7, 0.003323668394680861, 0.0013577262297733226]"
20,"[0.016666686170881385, 0.9833333135279977, 1.0756014362105434e-11, 1.9357875405911636e-10, 9.678937702955818e-11]"
21,"[0.004376028453037609, 0.9956239715469605, 3.4212883274972944e-18, 7.602862949751747e-19, 4.693125277624513e-21]"
