Timestep,Probs
1,"[0.33999999999999964, 0.33999999999999964, 0.3199999999999997]"
2,"[0.25851269176278263, 0.38298521522343354, 0.3585020930137835]"
3,"[0.24968083340950464, 0.4074935561173725, 0.3428256104731236]"
4,"[0.0963280168631732, 0.16030290250450274, 0.7433690806323241]"
5,"[0.016378893044173164, 0.022532179464200577, 0.9610889274916276]"
6,"[0.002268637309465964, 0.0028739420502057913, 0.9948574206403292]"
7,"[0.00023314415345103586, 0.0002800047981133122, 0.9994868510484365]"
8,"[0.0002586737153136625, 0.00028455101466210624, 0.9994567752700254]"
9,"[0.0003343534713712487, 0.00026751643874353275, 0.9993981300898849]"
10,"[0.0277766775524658, 0.006944175841050831, 0.965279146606486]"
11,"[0.026708738454876667, 0.008901917398098664, 0.9643893441470256]"
12,"[0.022143194819840308, 0.011069740667772849, 0.9667870645123882]"
13,"[0.0442234206362412, 0.0024568565637720103, 0.953319722799988]"
14,"[0.048545368140456686, 9.047309316051381e-7, 0.9514537271286119]"
15,"[0.009845142441720175, 6.267536113619954e-20, 0.9901548575582814]"
16,"[0.0011461202687639378, 5.371278256162891e-65, 0.9988538797312365]"
17,"[0.00012767539169800042, 1.2633904825708306e-112, 0.9998723246083008]"
18,"[0.006942401808560642, 1.1858188744595923e-49, 0.9930575981914398]"
19,"[0.008541057735225253, 4.451382448753971e-84, 0.9914589422647768]"
